ATK-terminaal	ATK-terminaal+N+Sg+Nom

ATK-terminaalâ	ATK-terminaal+Err/Orth+N+Sg+Nom

IPI-kuávdáš	IPI-kuávdáš+N+Sg+Nom

aalmuglâšlodde	aalmug+v1+N+Der/Nom+Der/lasj+A+Cmp/Attr+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmug+v1+N+Der/Nom+Der/lasj+A+Cmp/SgNom+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmug+v1+N+Der/lasj+A+Cmp/Attr+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmug+v1+N+Der/lasj+A+Cmp/SgNom+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmug+v2+N+Der/Nom+Der/lasj+A+Cmp/Attr+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmug+v2+N+Der/Nom+Der/lasj+A+Cmp/SgNom+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmug+v2+N+Der/lasj+A+Cmp/Attr+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmug+v2+N+Der/lasj+A+Cmp/SgNom+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmuglâš+A+Cmp/Attr+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmuglâš+A+Cmp/SgNom+Cmp#lodde+N+Sg+Nom
aalmuglâšlodde	aalmuglâšlodde+N+Sg+Nom

aanaarlâš	aanaarlâš+A+Sg+Nom
aanaarlâš	aanaarlâš+A+Attr
aanaarlâš	aanaarlâš+N+Sg+Nom
aanaarlâš	aanaar+N+Der/Nom+Der/lasj+A+Sg+Nom
aanaarlâš	aanaar+N+Der/Nom+Der/lasj+A+Attr
aanaarlâš	aanaar+N+Der/lasj+A+Sg+Nom
aanaarlâš	aanaar+N+Der/lasj+A+Attr

agressijvâlâš	agressijvâlâš+A+Sg+Nom
agressijvâlâš	agressijvâlâš+A+Attr




alfanummeerlâš	alfanummeerlâš+A+Sg+Nom
alfanummeerlâš	alfanummeerlâš+A+Attr

amerikmerâtuhtuu	amerikmerâtuhtuu+N+Sg+Nom

amerikviettuu	amerikviettuu+N+Sg+Nom

anamuš	anneeđ+V+Der/mas+N+Sg+Nom

anamâš	anneeđ+V+Der/mas+N+Sg+Nom
anamâš	anamâš+N+Sg+Nom


argumentistiđ	argumentistiđ+V+Inf

astottesvuotâ	astottesvuotâ+N+Sg+Nom

avveellâš	avveellâš+A+Sg+Nom
avveellâš	avveellâš+A+Attr
avveellâš	avveellâš+N+Sg+Nom

balkanpuájuiloddááš	balkanpuájuiloddááš+N+Sg+Nom
balkanpuájuiloddááš	balkan+N+Cmp/SgGen+Cmp#puájui+N+Cmp/SgNom+Cmp#loddááš+N+Sg+Nom
balkanpuájuiloddááš	balkan+N+Cmp/SgGen+Cmp#puájuiloddááš+N+Sg+Nom
