SÄMIKIELÂ UUCÂMSÄÄNI	SUOMI	SAAMEN_HAK	SUOMEN_HAK		SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L	
aa-a       	mitä?  (kysymyssana kun ei kuullut kunnolla) 	aa-a	mitä?						(kysymyssana kun ei kuullut kunnolla) 	
aabis       	aapinen  	aabis	aapinen							
aabiskirje  -ki'rje     	aapinen  	aabis	aapinen		kirje		-ki'rje			
aaboort       	abortti  	aaboort	abortti							
aaččân       	kramppi  	aaččân	kramppi							
aaččân       	heinäsirkka  Acrididae	aaččân	heinä			sirkka			Acrididae	
ááddámoomeen       	aataminomena  	ááddám	aatamin		oomeen	omena				
aagaat       	akaatti  	aagaat	akaatti							
ááhhár       	ankkuri  (laivan)	ááhhár	ankkuri						(laivan)	
ááhuš       	isoäiti  lapsenlapsensa t. -lastensa kanssa	ááhuš	iso			äiti			lapsenlapsensa t. -lastensa kanssa	
aaibâs       	aivan  	aaibâs	aivan							
aaibâs       	ihan  	aaibâs	ihan							
ááicus       	havainto  (erit. aisteihin perustuva)	ááicus	havainto						(erit. aisteihin perustuva)	
ááiđus  áiđus     	aitio  	ááiđus	aitio				áiđus			
aaigâ  aiguu     	aie  	aaigâ	aie				aiguu			
aaigâ  aiguu     	aikomus  	aaigâ	aikomus				aiguu			
ááijuv       	lapsenlapsi  (isoisälle)	ááijuv	lapsen			lapsi			(isoisälle)	
ááimumolsom       	ilmanvaihto  	ááimu	ilman		molsom	vaihto				
ááimunuá'skádâs       	ilmansaaste  	ááimu	ilman		nuá'skádâs	saaste				
ááimuputesteijee       	ilmanpuhdistaja  	ááimu	ilman		putesteijee	puhdistaja				
ááimusillee       	ilmansuodatin  	ááimu	ilman		sillee	suodatin				
ááimusunde  -su'nde     	ilmansuunta  	ááimu	ilman		sunde	suunta	-su'nde			
ááimuvorâsmittee       	ilmanraikastin  	ááimu	ilman		vorâsmittee	raikastin				
aainâs       	toki  	aainâs	toki							
aainâs       	ainakin  	aainâs	ainakin							
aainâs       	etenkin  	aainâs	etenkin							
aainâskin       	varsinkaan  	aainâskin	varsinkaan							
aainâs-uv       	varsinkin  	aainâs-uv	varsinkin							
aainâs-uv       	ainakin  	aainâs-uv	ainakin							
aairâs  airâs     	airut  	aairâs	airut				airâs			
aairâs  airâs     	edustaja  	aairâs	edustaja				airâs			
aajâ  aijuu     	lähde  (ei kirjall.)	aajâ	lähde				aijuu		(ei kirjall.)	
aajâ  aijuu     	oja  	aajâ	oja				aijuu			
aajâ  aijuu     	puro  	aajâ	puro				aijuu			
áákkár       	ankkuri  (laivan)	áákkár	ankkuri						(laivan)	
aakuustlâš  aakuustlii     	akustinen  	aakuustlâš	akustinen				aakuustlii			
áálááš       	alasin  	áálááš	alasin							
áálááš       	uuninpankko  	áálááš	uunin			pankko				
aalaaš  aalaa alaččist     	laki (vaaran)  	aalaaš	laki (vaaran)				aalaa alaččist			
aalaašhaJâsyei'ni  -syeini     	tunturimaarianheinä  Hierochloe alpina	aalaaš	tunturi		haJâsyei'ni	maarianheinä	-syeini		Hierochloe alpina	
aalaašsiNo  -sino     	tunturinata  Festuca richardsonii	aalaaš	tunturi		siNo	nata	-sino		Festuca richardsonii	
aalaašsuor'mâkuáti  -kuáđi ~ -kuá'đe     	tunturilitukka  Cardamine bellifolia	aalaaš	tunturi		suor'mâkuáti	litukka	-kuáđi ~ -kuá'đe		Cardamine bellifolia	
aalaašsyei'ni  -syeini     	lapinnurmikka  Poa arctica	aalaaš	lapin		syei'ni	nurmikka	-syeini		Poa arctica	
aalbâhvuáSáš  -vuás'sáá     	vasa  (emästään eksynyt)	aalbâh	vasa		vuáSáš		-vuás'sáá		(emästään eksynyt)	
aalbâhvuáSâš  -vuás'sáá     	vasa  (emästään eksynyt)	aalbâh	vasa		vuáSâš		-vuás'sáá		(emästään eksynyt)	
aalbâhvyeSi  -vyesi     	vasa  (emästään eksynyt)	aalbâh	vasa		vyeSi		-vyesi		(emästään eksynyt)	
aaleeb       	korkeampi  	aaleeb	korkeampi							
aaleem       	vyötärö  	aaleem	vyötärö							
aalgâ  alguu     	aloite  	aalgâ	aloite				alguu			
áálgukeččin       	alkupäässä  	áálgu	alku		keččin	päässä				
aalmanlavkkim       	taivaaseenastuminen  	aalman	taivaaseen		lavkkim	astuminen				
aalmug       	kansa  	aalmug	kansa							
aalmug       	väestö  	aalmug	väestö							
aalmugčerdâ  -čeerdâ     	kansanheimo  	aalmug	kansan		čerdâ	heimo	-čeerdâ			
aalmugčuov'viittâs       	kansansivistys  	aalmug	kansan		čuov'viittâs	sivistys				
aalmugčuov'viittâs       	kansanvalistus  	aalmug	kansan		čuov'viittâs	valistus				
aalmugiä'láttâh  -iä'láttuv     	kansaneläke  	aalmug	kansan		iä'láttâh	eläke	-iä'láttuv			
aalmugiä'láttâhlágádâs       	kansaneläkelaitos  	aalmug	kansan		iä'láttâhlágádâs	eläkelaitos				
aalmugjeessân       	kansalainen  	aalmug	kansalainen		jeessân					
aalmugjeessânvuotâ       	kansalaisuus  	aalmug	kansalaisuus		jeessânvuotâ					
aalmugjie'nâstem       	kansanäänestys  	aalmug	kansan		jie'nâstem	äänestys				
aalmugkieLâ  -kielâ     	kansalliskieli  	aalmug	kansallis		kieLâ	kieli	-kielâ			
aalmugkieLâ  -kielâ     	kansankieli  	aalmug	kansan		kieLâ	kieli	-kielâ			
aalmuglaavlâ  -lavluu     	kansanlaulu  	aalmug	kansan		laavlâ	laulu	-lavluu			
aalmuglâš  aalmuglii     	kansallinen  	aalmuglâš	kansallinen				aalmuglii			
aalmuglâšlaavlâ  -lavluu     	kansallislaulu  	aalmuglâš	kansallis		laavlâ	laulu	-lavluu			
aalmuglâšlodde  -lode     	kansallislintu  	aalmuglâš	kansallis		lodde	lintu	-lode			
aalmuglâšmecci  -meeci     	kansallispuisto  	aalmuglâš	kansallis		mecci	puisto	-meeci			
aalmuglâšmecci  -meeci     	kansallispuisto  	aalmuglâš	kansallis		mecci	puisto	-meeci			
aalmuglâšopâttâh  -opâttuv     	kansalaisopisto  	aalmuglâš	kansalais		opâttâh	opisto	-opâttuv			
aalmuglâšsuáti  -suáđi ~ -suá'đe     	kansalaissota  	aalmuglâš	kansalais		suáti	sota	-suáđi ~ -suá'đe			
aalmuglâšuá'ináttâh  uá'ináttuv     	kansallismaisema  	aalmuglâš	kansallis		uá'ináttâh	maisema	uá'ináttuv			
aalmuglâšvuotâ  -vuođâ     	kansallisuus  	aalmuglâšvuotâ	kansallisuus				-vuođâ			
aalmugmaainâs  -mainâs     	kansansatu  	aalmug	kansan		maainâs	satu	-mainâs			
aalmugmuštâlus       	kansantarina  	aalmug	kansan		muštâlus	tarina				
aalmugo'vdâsteijee       	kansanedustaja  	aalmug	kansan		o'vdâsteijee	edustaja				
aalmugpuo'vtâdâs       	kansantuote  	aalmug	kansan		puo'vtâdâs	tuote				
aalmugpäikki  -pääihi     	kansankoti  	aalmug	kansan		päikki	koti	-pääihi			
aalmugrááhtus  -ráhtus     	väestörakenne  	aalmug	väestö		rááhtus	rakenne	-ráhtus			
aalmugregister       	väestörekisteri  	aalmug	väestö		register	rekisteri				
aalmugruno       	kansanruno  	aalmug	kansan		runo	runo				
aalmugškovlâ  -škoovlâ     	kansakoulu  	aalmug	kansa		škovlâ	koulu	-škoovlâ			
aalmugstuárrum       	väestönkasvu  	aalmug	väestön		stuárrum	kasvu				
aalmugsyeJi  -sye'je     	väestösuoja  	aalmug	väestö		syeJi	suoja	-sye'je			
aalmugtieđâ  -tiet'tuu     	kansantiede  	aalmug	kansan		tieđâ	tiede	-tiet'tuu			
aalmugtie'rvâsvuođâpargo  -pa'rgo     	kansanterveystyö  	aalmug	kansan		tie'rvâsvuođâpargo	terveystyö	-pa'rgo			
aalmugtie'rvâsvuotâ  -tie'rvâsvuođâ     	kansanterveys  	aalmug	kansan		tie'rvâsvuotâ	terveys	-tie'rvâsvuođâ			
aalmugtilálâšvuotâ  -tilálâšvuođâ     	yleisötilaisuus  	aalmugtilálâšvuotâ	yleisö			tilaisuus	-tilálâšvuođâ			
aalmugtiä'tuoornig       	väestötietojärjestelmä  	aalmug	väestö		tiä'tuoornig	tietojärjestelmä				
aalmugvajâldâs       	kansainvaellus  	aalmug	kansain		vajâldâs	vaellus				
aalmugvuoi'gâdvuotâ  -vuoi'gâdvuođâ     	kansanoikeus  	aalmug	kansan		vuoi'gâdvuotâ	oikeus	-vuoi'gâdvuođâ			
aalmugväldi  -vääldi     	kansanvalta  	aalmug	kansan		väldi	valta	-vääldi			
aalmugärbivyehi  -vyeVi     	kansanperinne  	aalmug	kansan		ärbivyehi	perinne	-vyeVi			
aamen       	aamen  	aamen	aamen							
áámmát       	ammatti  	áámmát	ammatti							
áámmáta'lmai  -almaa     	ammattimies  	áámmát	ammatti		a'lmai	mies	-almaa			
áámmáthárjánem       	ammattikokemus  	áámmát	ammatti		hárjánem	kokemus				
áámmáthá'rjutteijee       	ammatinharjoittaja  	áámmát	ammatin		há'rjutteijee	harjoittaja				
áámmátjuáv'kku  -juávhu     	ammattiryhmä  	áámmát	ammatti		juáv'kku	ryhmä	-juávhu			
áámmátki'rjálâšvuotâ  -ki'rjálâšvuođâ     	ammattikirjallisuus  	áámmát	ammatti		ki'rjálâšvuotâ	kirjallisuus	-ki'rjálâšvuođâ			
áámmátkuá'lástem       	ammattikalastus  	áámmát	ammatti		kuá'lástem	kalastus				
áámmátlâš  áámmátlii     	ammatillinen  	áámmátlâš	ammatillinen				áámmátlii			
áámmátmolsom       	ammatinvaihdos  	áámmát	ammatin		molsom	vaihdos				
áámmátollâškovlâ  -škoovlâ     	ammattikorkeakoulu  	áámmát	ammatti		ollâškovlâ	korkeakoulu	-škoovlâ			
áámmáto'vtâstus       	ammattiyhdistys  	áámmát	ammatti		o'vtâstus	yhdistys				
áámmátpuátu  -puáđu ~ -puáđo     	ammattitulo  	áámmát	ammatti		puátu	tulo	-puáđu ~ -puáđo			
áámmátrikolâšvuotâ  -rikolâšvuođâ     	ammattirikollisuus  	áámmát	ammatti		rikolâšvuotâ	rikollisuus	-rikolâšvuođâ			
áámmátškovlâ  -škoovlâ     	ammattikoulu  	áámmát	ammatti		škovlâ	koulu	-škoovlâ			
áámmátškovlimha'ldâttâs       	ammattikasvatushallitus  	áámmát	ammatti		škovlimha'ldâttâs	kasvatushallitus				
áámmátsyer'gi  -syergi     	ammattiala  	áámmát	ammatti		syer'gi	ala	-syergi			
áámmáttáiđu  -tááiđu     	ammattitaito  	áámmát	ammatti		táiđu	taito	-tááiđu			
áámmáttá'iđulâš  -tá'iđulii     	ammattitaitoinen  	áámmát	ammatti		tá'iđulâš	taitoinen	-tá'iđulii			
áámmáttavdâ  -taavdâ     	ammattitauti  	áámmát	ammatti		tavdâ	tauti	-taavdâ			
áámmátvaljim       	ammatinvalinta  	áámmát	ammatin		valjim	valinta				
áámmátvaljimpsykolog       	ammatinvalintapsykologi  	áámmát	ammatin		valjimpsykolog	valintapsykologi				
áámmátvaljimstivrim       	ammatinvalinnanohjaus  	áámmát	ammatin		valjimstivrim	valinnanohjaus				
aamnâs  amnâs     	aine  	aamnâs	aine				amnâs			
aamnâs  amnâs     	aines  	aamnâs	aines				amnâs			
aamnâs  amnâs     	oppiaine  (esim. koulussa)	aamnâs	oppi			aine	amnâs		(esim. koulussa)	
aamnâs  amnâs     	raaka-aine  	aamnâs	raaka			-aine	amnâs			
aamnâs  amnâs     	tarvike  	aamnâs	tarvike				amnâs			
aamnâs  amnâs     	materiaali  (jnk tekemiseen)	aamnâs	materiaali				amnâs		(jnk tekemiseen)	
aamnâslâš  aamnâslii     	aineellinen  	aamnâslâš	aineellinen				aamnâslii			
aanaarkieLâ  -kielâ     	inarinsaame  	aanaar	inarin		kieLâ	saame	-kielâ			
aanaarlâš  aanaarlii     	inarilainen  	aanaarlâš	inarilainen				aanaarlii			
aanaarsämikieLâ  -kielâ     	inarinsaame  	aanaar	inarin		sämikieLâ	saame	-kielâ			
áánnuđ  áánum     	anoa  	áánnuđ	anoa				áánum			
áánnum       	vetoomus  	áánnum	vetoomus							
aanoost       	käytössä  	aanoost	käytössä							
áánsášmettum       	ansaitsematon  	áánsášmettum	ansaitsematon							
áánsâšmettum       	ansaitsematon  	áánsâšmettum	ansaitsematon							
ááŋáás       	polvijänne  (poron etujalassa polven etupuolella)	ááŋáás	polvi			jänne			(poron etujalassa polven etupuolella)	
ááŋáás  ááŋás     	jänne  (poron etujalassa oleva kolmihaarainen)	ááŋáás	jänne				ááŋás		(poron etujalassa oleva kolmihaarainen)	
ááŊu  ááŋu     	hankain  	ááŊu	hankain				ááŋu			
aapiin       	apina  	aapiin	apina							
aarâháldu  -ááldu     	vaadin  (varhain vasova)	aarâh	vaadin		áldu		-ááldu		(varhain vasova)	
aarâhnuoRâ  -nuorâ     	varhaisnuori  	aarâh	varhais		nuoRâ	nuori	-nuorâ			
aareest       	aresti  	aareest	aresti							
aargâi       	arkisin  	aargâi	arkisin							
aari       	aari  	aari	aari							
aarni       	aarre  	aarni	aarre							
aarnihävdi  -häävdi     	aarnihauta  	aarni	aarni		hävdi	hauta	-häävdi			
aarnihävdi  -häävdi     	aarrehauta  	aarni	aarre		hävdi	hauta	-häävdi			
aarnik       	arnikki  Arnica angustifolia	aarnik	arnikki						Arnica angustifolia	
aarrâd       	aikainen  	aarrâd	aikainen							
aarrân       	arina  	aarrân	arina							
aarrân       	tulisija  	aarrân	tuli			sija				
aarriiđeed       	aamuvarhaisella  	aarr	aamu		iiđeed	varhaisella				
aarriiđeed       	aamuvarhain  	aarr	aamu		iiđeed	varhain				
aarriiđeed       	varhaisaamu  	aarr	varhais		iiđeed	aamu				
ááRu  ááru     	este  	ááRu	este				ááru			
ááRu  ááru     	haitta  	ááRu	haitta				ááru			
aarvâs  arvâs # a'rvâs     	avokätinen  	aarvâs	avo			kätinen	arvâs # a'rvâs			
aarvâs  arvâs # a'rvâs     	runsas  	aarvâs	runsas				arvâs # a'rvâs			
aarvâs  arvâs # a'rvâs     	reilu  	aarvâs	reilu				arvâs # a'rvâs			
áárvulaSeviäRu  -viäru     	arvonlisävero  	áárvu	arvon		laSeviäRu	lisävero	-viäru			
áárvustoonnum       	kunnianarvoisa  	áárvust	kunnian		oonnum	arvoisa				
áárvustoonnum       	kunnioitettava  	áárvust	kunnioitettava		oonnum					
áárvustoonnum       	arvoisa  	áárvust	arvoisa		oonnum					
aasâ  assuu     	ase  	aasâ	ase				assuu			
aasâg       	ylilaita  (veneessä)	aasâg	yli			laita			(veneessä)	
áášánkullee       	asiaankuuluva  	áášán	asiaan		kullee	kuuluva				
áášánkullee       	asianomainen  	áášán	asian		kullee	omainen				
áášánkullee       	kyseinen  	áášán	kyseinen		kullee					
aasi       	aasi  Equus asinus	aasi	aasi						Equus asinus	
aasialâš  aasialii     	aasialainen  	aasialâš	aasialainen				aasialii			
aassâđ  aasâm     	asua  	aassâđ	asua				aasâm			
aassâm       	asutus  	aassâm	asutus							
aassâmiäRu  -iäru     	asumusero  	aassâm	asumus		iäRu	ero	-iäru			
aassâmkuávdáš  -kuáv'dáá     	asutuskeskus  	aassâm	asutus		kuávdáš	keskus	-kuáv'dáá			
aassâmkuáv'lu  -kuávlu     	asuma-alue  	aassâm	asuma		kuáv'lu	-alue	-kuávlu			
aassâmkuáv'lu  -kuávlu     	asuma-alue  	aassâm	asuma		kuáv'lu	-alue	-kuávlu			
aassâmpäikki  -pääihi     	asuinpaikka  	aassâm	asuin		päikki	paikka	-pääihi			
aassâmsaJe  -saje     	asuinpaikka  	aassâm	asuin		saJe	paikka	-saje			
aassâmtávjudâh~-távjudoh~-távjuduh  -távjuduv     	asumistiheys  	aassâm	asumis		távjudâh~-távjudoh~-távjuduh	tiheys	-távjuduv			
aassâmtoimâ  -tooimâ     	asutustoiminta  	aassâm	asutus		toimâ	toiminta	-tooimâ			
aassâmtoorjâ  -torjuu     	asumistuki  	aassâm	asumis		toorjâ	tuki	-torjuu			
aassâmviäsu       	asunto  	aassâm	asunto		viäsu					
aaštâ  aštuu     	uhkaus  	aaštâ	uhkaus				aštuu			
aaštâ  aštuu     	uhka  	aaštâ	uhka				aštuu			
aaštân  aštân     	surkastuma  	aaštân	surkastuma				aštân			
aatelistiđ  aatelistám     	aateloida  	aatelistiđ	aateloida				aatelistám			
aatellâš  aatellii     	aatelinen  	aatellâš	aatelinen				aatellii			
aatellâšvuotâ  aatellâšvuođâ     	aateluus  	aatellâšvuotâ	aateluus				aatellâšvuođâ			
aatoom       	atomi  	aatoom	atomi							
aatoomenergia       	ydinenergia  	aatoom	ydin		energia	energia				
aatoomvyei'mi  -vyeimi     	ydinvoima  	aatoom	ydin		vyei'mi	voima	-vyeimi			
aavâštmettum       	aavistamaton  	aavâštmettum	aavistamaton							
aavâštmettum       	arvaamaton  	aavâštmettum	arvaamaton							
aavâštmettum       	arvaamaton  	aavâštmettum	arvaamaton							
aavis       	sanomalehti  	aavis	sanoma			lehti				
aavisčuopâs  -čuop'pâs     	lehtileike  	aavis	lehti		čuopâs	leike	-čuop'pâs			
ááVu  áávu     	riemu  	ááVu	riemu				áávu			
áavus       	avoinna  	áavus	avoinna							
áávus       	auki  	áávus	auki							
áávus       	avoinna  	áávus	avoinna							
áávus       	auki  	áávus	auki							
áávus       	avonainen  	áávus	avonainen							
