om.	om.
tmt.	tmt.
ATK	ATK
BAP	BAP
šalmaa	šalmaa
paa	paa
skarppaa	skarppaa
kurpicca	kurpicca
sooda	sooda
liäibumsooda	liäibumsooda
idea	idea
urea	urea
kuha	kuha
fobia	fobia
multimedia	multimedia
lostâmedia	lostâmedia
melodia	melodia
filosofia	filosofia
teologia	teologia
biologia	biologia
psykologia	psykologia
allergia	allergia
energia	energia
jotoenergia	jotoenergia
hierarkia	hierarkia
kemia	kemia
ekonomia	ekonomia
autonomia	autonomia
difteria	difteria
geometria	geometria
demokratia	demokratia
akleija	akleija
pestimarmeija	pestimarmeija
kastanja	kastanja
rahka	rahka
lakka	lakka
piirakka	piirakka
torakka	torakka
russakka	russakka
rekka	rekka
neilikka	neilikka
mansikka	mansikka
luokka	luokka
aheluokka	aheluokka
pälkkiluokka	pälkkiluokka
seŋkka	seŋkka
tutka	tutka
maila	maila
apila	apila
halla	halla
mecciviola	mecciviola
kieddiviola	kieddiviola
vyevdiviola	vyevdiviola
jeggiviola	jeggiviola
sämiviola	sämiviola
čunoiviola	čunoiviola
ruáviviola	ruáviviola
rotoviola	rotoviola
iptoviola	iptoviola
piälduviola	piälduviola
kuolbâviola	kuolbâviola
ravintola	ravintola
tavekiisla	tavekiisla
maadâkiisla	maadâkiisla
aula	aula
draama	draama
teema	teema
njamma	njamma
hehtogramma	hehtogramma
tamma	tamma
plasma	plasma
prisma	prisma
hana	hana
lahna	lahna
apina	apina
juna	juna
huáppujuna	huáppujuna
jumppa	jumppa
tundra	tundra
väritundra	väritundra
kamera	kamera
ohra	ohra
sitra	sitra
avra	avra
kavra	kavra
lyyra	lyyra
lasa	lasa
vesa	vesa
čuoldâvesa	čuoldâvesa
silsa	silsa
selluloosa	selluloosa
kassa	kassa
hypotenuusa	hypotenuusa
fakta	fakta
delta	delta
vasta	vasta
siesta	siesta
teltta	teltta
kaava	kaava
huksimkaava	huksimkaava
riddokaava	riddokaava
mittokaava	mittokaava
laava	laava
vulva	vulva
lakknub	lakknub
pelnub	pelnub
traapeec	traapeec
noomaad	noomaad
limonaad	limonaad
ambassaad	ambassaad
lonnjeed	lonnjeed
eeleed	eeleed
eemeed	eemeed
kirdemeemeed	kirdemeemeed
moopeed	moopeed
iiđeed	iiđeed
iššeed	iššeed
táluiššeed	táluiššeed
oresked	oresked
eehid	eeHid
vuosâeehid	vuosâeehid
invaliid	invaliid
pyramiid	pyramiid
tensiid	tensiid
juávhoid	juávhoid
sakkarid	sakkarid
pervid	pervid
uskepervid	uskepervid
suuláid	suuláid
pelduvváid	pelduvváid
poonjeeld	poonjeeld
lasâmield	lasâmield
ääigild	ääigild
kuávhild	kuávhild
äävild	äävild
kooruund	kooruund
periood	periood
vuálusvinnjood	vuálusvinnjood
ponnjood	ponnjood
vuálusvinnood	vuálusvinnood
koorood	koorood
miljard	miljard
bulevard	bulevard
liäbbud	liäb'bud
háccud	háccud
várdud	várdud
kuávkkud	kuáv'kkud
máánnud	máánnud
iäigád	iäi'gád
iäigád	iäigád
kiämád	kiämád
kuoddâd	kuoddâd
kaggâd	kaggâd
paalgâd	paalgâd
saahâd	saaHâd
roohâd	rooHâd
voohâd	vooHâd
šoohâd	šoohâd
kavrâsuohâd	kavrâsuohâd
keemâd	keemâd
suormâd	suor'mâd
korrâd	korrâd
ruossâd	ruos'sâd
mielâstâd	mie'lâstâd
raavâd	raavâd
tievâd	tievâd
soovâd	soovâd
roovvâd	roovvâd
snuibe	snuibe
nijbe	nijbe
leibinijbe	leibinijbe
pevdinijbe	pevdinijbe
säminijbe	säminijbe
lánjánijbe	lánjánijbe
rahânijbe	rahânijbe
olbe	olbe
urbe	urbe
álgu-urbe	álgu-urbe
áŋu-urbe	áŋu-urbe
emiurbe	emiurbe
lieđiurbe	lieđiurbe
kečiurbe	kečiurbe
itourbe	itourbe
turbe	turbe
turdeturbe	turdeturbe
algâurbe	algâurbe
sieđgâurbe	sieđgâurbe
kierâurbe	kierâurbe
puicce	puicce
kandâpuicce	kandâpuicce
puncce	puncce
čuoggimpuncce	čuoggimpuncce
nocce	nocce
fleece	fleece
pice	pice
hadde	hadde
ohtâdâhhadde	ohtâdâhhadde
puálguhadde	puálguhadde
čuoldâhadde	čuoldâhadde
radde	radde
kolleradde	kolleradde
pidde	pidde
tidde	tidde
kodde	kodde
virgekodde	virgekodde
kihlekodde	kihlekodde
pispekodde	pispekodde
uásádâhkodde	uásádâhkodde
ärbikodde	ärbikodde
meccikodde	meccikodde
väldikodde	väldikodde
lävdikodde	lävdikodde
hovdimlävdikodde	hovdimlävdikodde
huksimlävdikodde	huksimlävdikodde
pajeuáppeeiskoslävdikodde	pajeuáppeeiskoslävdikodde
keđgikodde	keđgikodde
päikkikodde	päikkikodde
servikodde	servikodde
eennâmkodde	eennâmkodde
iäláánkodde	iäláánkodde
pargokodde	pargokodde
tuámmárkodde	tuámmárkodde
ovdâskodde	ovdâskodde
kunâgâskodde	kunâgâskodde
airâskodde	airâskodde
váljukodde	váljukodde
puálukodde	puálukodde
tuámukodde	tuámukodde
ovdâkodde	ovdâkodde
suhâkodde	suhâkodde
toimâkodde	toimâkodde
luomâkodde	luomâkodde
pappâkodde	pappâkodde
parâkodde	parâkodde
stivrâkodde	stivrâkodde
kuosâkodde	kuosâkodde
piäiváškodde	piäiváškodde
ohtsâškodde	ohtsâškodde
lodde	lodde
kuácceelodde	kuácceelodde
jotteelodde	jotteelodde
pievrihlodde	pievrihlodde
paaccâhlodde	paaccâhlodde
veigilodde	veigilodde
härjilodde	härjilodde
päikkilodde	päikkilodde
känilodde	känilodde
kesilodde	kesilodde
kuávsuilodde	kuávsuilodde
coggumlodde	coggumlodde
kunjolodde	kunjolodde
puškolodde	puškolodde
kárgulodde	kárgulodde
vuáksálodde	vuáksálodde
lavgâlodde	lavgâlodde
ijjâlodde	ijjâlodde
skunjâlodde	skunjâlodde
stuorrâlodde	stuorrâlodde
čuosâlodde	čuosâlodde
suovâlodde	suovâlodde
kozzâlodde	kozzâlodde
aalmuglâšlodde	aalmuglâšlodde
pudde	pudde
sudde	sudde
šalde	šalde
kevlišalde	kevlišalde
silde	silde
šolde	šolde
sunde	sunde
vyeijimsunde	vyeijimsunde
ááimusunde	ááimusunde
virde	virde
virde	vi'rde
viermivirde	viermivirde
täsivirde	täsivirde
áimuvirde	áimuvirde
šleđgâvirde	šleđgâvirde
merâvirde	merâvirde
muulsâvirde	muulsâvirde
šorde	šorde
sijđošorde	sijđošorde
tuárisšorde	tuárisšorde
nurde	nurde
tuolvânurde	tuolvânurde
turde	turde
kärbee	kärbee
accee	accee
ennieccee	ennieccee
kuocâkiccee	kuocâkiccee
occee	occee
puásuioccee	puásuioccee
koccee	koccee
poccee	poccee
čäcipoccee	čäcipoccee
peljipoccee	peljipoccee
syelipoccee	syelipoccee
emipoccee	emipoccee
vuoiŋâmpoccee	vuoiŋâmpoccee
sojopoccee	sojopoccee
kepispoccee	kepispoccee
stáálupoccee	stáálupoccee
áimupoccee	áimupoccee
šiärupoccee	šiärupoccee
tuásupoccee	tuásupoccee
kaaicâpoccee	kaaicâpoccee
čuovâpoccee	čuovâpoccee
kužžâpoccee	kužžâpoccee
kuáccee	kuác'cee
syebdee	syeb'dee
vyebdee	vyeb'dee
tobdee	tobdee
puásuitobdee	puásuitobdee
äššitobdee	äššitobdee
njaddee	njaddee
kieddee	kied'dee
kirjeteddee	kirjeteddee
kyeddee	kyed'dee
kädiskyeddee	kädiskyeddee
ávjukyeddee	ávjukyeddee
viärukyeddee	viärukyeddee
jámálgiddee	jámálgiddee
niddee	niddee
ilddee	ilddee
uáđđimilddee	uáđđimilddee
luptâilddee	luptâilddee
joddee	joddee
evnijoddee	evnijoddee
eevnijoddee	eevnijoddee
kuobžâkoddee	kuobžâkoddee
kemppâsâddee	kemppâsâddee
puttâltoidee	puttâltoidee
čalmekäidee	čalmekäidee
meccinjaldee	meccinjaldee
čunoiäpinjaldee	čunoiäpinjaldee
kieldee	kieldee
immeelkieldee	immeelkieldee
pianokeldee	pianokeldee
čyeldee	čyel'dee
ildee	ildee
kirjeildee	kirjeildee
koldee	koldee
jieŋâkuáldee	jieŋâkuáldee
häldee	häldee
čäcihäldee	čäcihäldee
käldee	käldee
virdekäldee	virdekäldee
tyeldeekäldee	tyeldeekäldee
kolmâkäldee	kolmâkäldee
snäldee	snäldee
vedissnäldee	vedissnäldee
päldee	päldee
späldee	späldee
jieŋâspäldee	jieŋâspäldee
jieŋâpäldee	jieŋâpäldee
uásiväldee	uásiväldee
vuástáväldee	vuástáväldee
sundee	sundee
tullâkierdee	tullâkierdee
kirdee	kirdee
suátikirdee	suátikirdee
ärdee	ärdee
pivdee	pivdee
kyelipivdee	kyelipivdee
kuobžâpivdee	kuobžâpivdee
rävdee	rävdee
silbârävdee	silbârävdee
rieggee	rieg'gee
kumirieggee	kumirieggee
riggee	riggee
peljiriggee	peljiriggee
tähtiriggee	tähtiriggee
lávuriggee	lávuriggee
tuuvdâriggee	tuuvdâriggee
äggee	äggee
čyeigee	čyei'gee
räigee	räigee
pargee	pargee
servikoddepargee	servikoddepargee
išepargee	išepargee
toimâttâhpargee	toimâttâhpargee
virgetoimâttâhpargee	virgetoimâttâhpargee
meccipargee	meccipargee
vyevdipargee	vyevdipargee
káiduspargee	káiduspargee
vuolgâttâspargee	vuolgâttâspargee
siirdolâšpargee	siirdolâšpargee
hurgee	hurgee
pecihurgee	pecihurgee
kafferhurgee	kafferhurgee
alppâhurgee	alppâhurgee
pođgee	pođgee
möŋgee	möŋ'gee
tahhee	tahhee
ärbitahhee	ärbitahhee
veritahhee	veritahhee
paastahhee	paastahhee
jiehhee	jieh'hee
jehhee	jehhee
čäcjehhee	čäcjehhee
čäcijehhee	čäcijehhee
pieggâjehhee	pieggâjehhee
pehhee	pehhee
motepehhee	motepehhee
jyehhee	jyeh'hee
virdejyehhee	virdejyehhee
čäcijyehhee	čäcijyehhee
lohhee	lohhee
pennâčohhee	pennâčohhee
sundedeijee	sundedeijee
morhedeijee	morhedeijee
jienâaledeijee	jienâaledeijee
pilledeijee	pilledeijee
pyeredeijee	pye'redeijee
kivsedeijee	ki'vsedeijee
išedeijee	išedeijee
vuástáväldimišedeijee	vuástáväldimišedeijee
tutkâmišedeijee	tutkâmišedeijee
tähideijee	tähideijee
kerjideijee	kerjideijee
stäjideijee	stäjideijee
särnideijee	särnideijee
kepideijee	kepideijee
fievrideijee	fie'vrideijee
kuástideijee	kuá'stideijee
västideijee	västideijee
viešideijee	vie'šideijee
culijdeijee	culijdeijee
širijdeijee	širijdeijee
kävildeijee	kävildeijee
vajâldeijee	vajâldeijee
nanodeijee	nanodeijee
iberdeijee	iberdeijee
šladârdeijee	šladârdeijee
vandârdeijee	va'ndârdeijee
maigârdeijee	ma'igârdeijee
kašmârdeijee	ka'šmârdeijee
aitârdeijee	a'itârdeijee
láigudeijee	láigudeijee
čuáskudeijee	čuá'skudeijee
jienâšiäđudeijee	jienâšiäđudeijee
áigádeijee	áigádeijee
rievdâdeijee	riev'dâdeijee
peeŋkâliegâdeijee	peeŋkâliegâdeijee
vuojâdeijee	vuo'jâdeijee
časkâdeijee	časkâdeijee
njuoskâdeijee	njuos'kâdeijee
larmâdeijee	larmâdeijee
kiškomlarmâdeijee	kiškomlarmâdeijee
purâdeijee	purâdeijee
áimulahtâdeijee	áimulahtâdeijee
ruškisruotâdeijee	ruškisruotâdeijee
puovtâdeijee	puo'vtâdeijee
tuššâdeijee	tuššâdeijee
ärbejeijee	ärbejeijee
hiccejeijee	hiccejeijee
sundejeijee	sundejeijee
huávdejeijee	huáv'dejeijee
näggejeijee	näggejeijee
álgujalgejeijee	álgujalgejeijee
čorgejeijee	čorgejeijee
pieđgejeijee	pieđ'gejeijee
räijejeijee	räijejeijee
viekkejeijee	viek'kejeijee
vuoptâkoškejeijee	vuoptâkoškejeijee
luákkánjuškejeijee	luákkánjuškejeijee
stellejeijee	stellejeijee
fillejeijee	fillejeijee
tuállejeijee	tuál'lejeijee
välmejeijee	välmejeijee
tannejeijee	tannejeijee
uárnejeijee	uár'nejeijee
sierrejeijee	sier'rejeijee
värrejeijee	värrejeijee
stivrejeijee	stivrejeijee
huksejeijee	huksejeijee
vuovdâpessejeijee	vuovdâpessejeijee
šaldeloptejeijee	šaldeloptejeijee
venttiilloptejeijee	venttiilloptejeijee
nyettejeijee	nyet'tejeijee
ryettejeijee	ryet'tejeijee
muldemoivejeijee	muldemoivejeijee
ráávhutorvejeijee	ráávhutorvejeijee
kovvejeijee	kovvejeijee
ruvvejeijee	ruvvejeijee
rävvejeijee	rävvejeijee
lyeđejeijee	lyeđejeijee
räđđejeijee	räđđejeijee
tárkkojeijee	tárkkojeijee
huksimtárkkojeijee	huksimtárkkojeijee
epijuátkojeijee	epijuátkojeijee
muttojeijee	muttojeijee
hoidájeijee	hoidájeijee
killájeijee	killájeijee
uccáátiänájeijee	uccáátiänájeijee
tuppájeijee	tuppájeijee
tánssájeijee	tánssájeijee
hoittájeijee	hoittájeijee
sorvájeijee	sorvájeijee
vuávájeijee	vuá'vájeijee
kuldâleijee	kuldâleijee
jurgâleijee	jurgâleijee
viljâleijee	viljâleijee
vuojâleijee	vuo'Jâleijee
sovkkâleijee	sovkkâleijee
kihtâleijee	kihtâleijee
čaittâleijee	čaittâleijee
muštâleijee	muštâleijee
palvâleijee	palvâleijee
puohčâleijee	puoh'čâleijee
vuáláneijee	vuá'Láneijee
riggeereijee	riggeereijee
patâreijee	patâreijee
pesipatâreijee	pesipatâreijee
ááimuputesteijee	ááimuputesteijee
tärhisteijee	tä'rhisteijee
tiervâsvuođâtärhisteijee	tiervâsvuođâtärhisteijee
mälisteijee	mälisteijee
uápisteijee	uá'pisteijee
tävisteijee	tävisteijee
ennusteijee	ennusteijee
vuáđusteijee	vuá'Đusteijee
miäcásteijee	miä'cásteijee
sundásteijee	su'ndásteijee
kuálásteijee	kuá'lásteijee
kunâgâskuálásteijee	kunâgâskuálásteijee
huárásteijee	huá'rásteijee
ášásteijee	ášásteijee
uccâsodâsteijee	uccâsodâsteijee
kiepâsodâsteijee	kiepâsodâsteijee
ovdâsteijee	o'vdâsteijee
salâsteijee	salâsteijee
omâsteijee	omâsteijee
mainâsteijee	ma'inâsteijee
nuotâsteijee	nuo'tâsteijee
tivtâsteijee	t'ivtâsteijee
skođâsteijee	skođâsteijee
sudetteijee	sudetteijee
mieđetteijee	mie'đetteijee
mieđetteijee	mieđetteijee
tieđetteijee	tie'đetteijee
jođetteijee	jođetteijee
kirdemjođetteijee	kirdemjođetteijee
pieggâkovjiitteijee	pieggâkovjiitteijee
cokkiitteijee	cokkiitteijee
volliitteijee	volliitteijee
huksiitteijee	huksiitteijee
pyevtitteijee	pye'vtitteijee
čujotteijee	čujotteijee
njuškotteijee	nju'škotteijee
ruttâlonotteijee	ruttâlonotteijee
reeivâlonotteijee	reeivâlonotteijee
áámmáthárjutteijee	áámmáthárjutteijee
tájutteijee	tájutteijee
luámutteijee	luá'mutteijee
puáluvárutteijee	puáluvárutteijee
viärutteijee	viä'rutteijee
piegguutteijee	pieg'guutteijee
mávutteijee	mávutteijee
piävutteijee	piä'Vutteijee
siävutteijee	siä'vutteijee
kuáđutteijee	kuá'đutteijee
jottáátteijee	jottáátteijee
máttáátteijee	máttáátteijee
acâtteijee	acâtteijee
čuoigâtteijee	čuo'igâtteijee
palgâtteijee	pa'lgâtteijee
luoihâtteijee	luo'ihâtteijee
čuojâtteijee	čuo'jâtteijee
huolâtteijee	huo'lâtteijee
kulâtteijee	kulâtteijee
toimâtteijee	to'imâtteijee
njomâtteijee	njomâtteijee
nomâtteijee	nomâtteijee
opâtteijee	opâtteijee
irâtteijee	irâtteijee
mavsâtteijee	ma'vsâtteijee
juvâtteijee	ju'Vâtteijee
ášášteijee	ášášteijee
avâšteijee	avâšteijee
tuođâšteijee	tuo'đâšteijee
vyeijee	vyei'jee
äššivyeijee	äššivyeijee
autovyeijee	autovyeijee
ášášeijee	ášášeijee
haldâšeijee	ha'ldâšeijee
merhâšeijee	me'rhâšeijee
mađhâšeijee	ma'đhâšeijee
kalâččeijee	kalâččeijee
tuáijee	tuái'jee
párutuáijee	párutuáijee
culijdijjee	culijdijjee
ärbejijjee	ärbejijjee
vuojâlijjee	vuo'Jâlijjee
máttááttijjee	máttááttijjee
opâttijjee	opâttijjee
avâštijjee	avâštijjee
tuođâštijjee	tuo'đâštijjee
merhâšijjee	me'rhâšijjee
vihkee	vihkee
revkkee	revkkee
civkkee	civkkee
taigacivkkee	taigacivkkee
meccicivkkee	meccicivkkee
lássácivkkee	lássácivkkee
časkee	časkee
käskee	käskee
tavekäskee	tavekäskee
ryevdikäskee	ryevdikäskee
lädikäskee	lädikäskee
vuoptâkäskee	vuoptâkäskee
totkee	totkee
kielâtotkee	kielâtotkee
utkee	utkee
koškee	koškee
läbžipallee	läbžipallee
ellee	ellee
pille-ellee	pille-ellee
päikkiellee	päikkiellee
čevđiellee	čevđiellee
povijellee	povijellee
šovâttemellee	šovâttemellee
pivdoellee	pivdoellee
sakkoellee	sakkoellee
jieŋâpálluspellee	jieŋâpálluspellee
kyeppirellee	kyeppirellee
rätisellee	rätisellee
ooleestellee	ooleestellee
irgástellee	i'rgástellee
jámástellee	jámástellee
kištottellee	ki'štottellee
náguttellee	náguttellee
hárjuttellee	há'rjuttellee
sundáttellee	su'ndáttellee
nágáttellee	nágáttellee
čájáttellee	čájáttellee
algâttellee	a'lgâttellee
opâttellee	opâttellee
sovâttellee	sovâttellee
árvuštellee	á'rvuštellee
álguellee	álguellee
rapuellee	rapuellee
árppuellee	árppuellee
piätuellee	piätuellee
šlieddâellee	šlieddâellee
vildâellee	vildâellee
algâellee	algâellee
puoŋâellee	puoŋâellee
sillee	sillee
oljosillee	oljosillee
ááimusillee	ááimusillee
juurdâsillee	juurdâsillee
nijbástillee	nijbástillee
miähástillee	miähástillee
ollee	ollee
suddo-ollee	suddo-ollee
čäciollee	čäciollee
kullee	kullee
tuállee	tuál'lee
