stanccađ	stanccađ
saddađ	saddađ
koodađ	koodađ
vardađ	vardađ
parfađ	parfađ
jaŋgađ	jaŋgađ
njaŋgađ	njaŋgađ
puohađ	puohađ
lakkađ	lakkađ
pakkađ	pakkađ
jalkkađ	jalkkađ
salkkađ	salkkađ
virkkađ	virkkađ
kaŋkkađ	kaŋkkađ
taŋkkađ	taŋkkađ
pallađ	pallađ
meinađ	meinađ
vannađ	vannađ
skarppađ	skarppađ
tarrađ	tarrađ
avrađ	avrađ
kavrađ	kavrađ
lastađ	lastađ
tekstađ	tekstađ
velttađ	velttađ
harttađ	harttađ
starttađ	starttađ
kaivađ	kaivađ
veivađ	veivađ
arvađ	arvađ
njavvađ	njavvađ
pavŋađ	pavŋađ
ramččađ	ramččađ
kacceđ	kacceđ
cicceđ	cicceđ
soicceđ	soicceđ
kincceđ	kincceđ
stircceđ	stircceđ
purcceđ	purcceđ
labdeđ	labdeđ
nabdeđ	nabdeđ
njaddeđ	njaddeđ
čäcinjaddeđ	čäcinjaddeđ
kuástinjaddeđ	kuástinjaddeđ
sukkârnjaddeđ	sukkârnjaddeđ
saddeđ	saddeđ
niddeđ	niddeđ
koddeđ	koddeđ
toideđ	toideđ
rijdeđ	rijdeđ
njaldeđ	njaldeđ
paldeđ	paldeđ
kildeđ	kildeđ
sildeđ	sildeđ
koldeđ	koldeđ
suldeđ	suldeđ
kardeđ	kardeđ
pardeđ	pardeđ
vardeđ	vardeđ
kirdeđ	kirdeđ
sirdeđ	sirdeđ
urdeđ	urdeđ
jurdeđ	jurdeđ
kurdeđ	kurdeđ
murdeđ	murdeđ
nurdeđ	nurdeđ
pivdeđ	pivdeđ
njuvdeđ	njuvdeđ
suvdeđ	suvdeđ
tuvdeđ	tuvdeđ
acceeđ	acceeđ
cicceeđ	cicceeđ
kicceeđ	kicceeđ
kocceeđ	kocceeđ
kahheeđ	kahheeđ
pahheeđ	pahheeđ
saijeeđ	saijeeđ
vaijeeđ	vaijeeđ
illávaijeeđ	illávaijeeđ
toijeeđ	toijeeđ
pilleeđ	pilleeđ
šilleeđ	šilleeđ
olleeđ	olleeđ
anneeđ	anneeđ
panneeđ	panneeđ
uđđâsistanneeđ	uđđâsistanneeđ
karreeđ	karreeđ
passeeđ	passeeđ
itteeđ	itteeđ
pitteeđ	pitteeđ
jotteeđ	jotteeđ
savveeđ	savveeđ
njađđeeđ	njađđeeđ
mađđeeđ	mađđeeđ
paččeeđ	paččeeđ
pađđeeđ	pađđeeđ
piđđeeđ	piđđeeđ
kođđeeđ	kođđeeđ
suđđeeđ	suđđeeđ
loggeđ	loggeđ
nargeđ	nargeđ
cirgeđ	cirgeđ
hurgeđ	hurgeđ
šluvgeđ	šluvgeđ
čađgeđ	čađgeđ
spiđgeđ	spiđgeđ
pođgeđ	pođgeđ
snuđgeđ	snuđgeđ
šuđgeđ	šuđgeđ
mahkeđ	mahkeđ
huhkeđ	huhkeđ
juhkeđ	juhkeđ
sikkeđ	sikkeđ
huikkeđ	huikkeđ
jalkkeđ	jalkkeđ
salkkeđ	salkkeđ
cilkkeđ	cilkkeđ
skilkkeđ	skilkkeđ
julkkeđ	julkkeđ
sparkkeđ	sparkkeđ
cirkkeđ	cirkkeđ
civkkeđ	civkkeđ
njivkkeđ	njivkkeđ
livkkeđ	livkkeđ
nivkkeđ	nivkkeđ
škaŋkkeđ	škaŋkkeđ
ciŋkkeđ	ciŋkkeđ
šloŋkkeđ	šloŋkkeđ
poŋkkeđ	poŋkkeđ
časkeđ	časkeđ
kiskeđ	kiskeđ
loskeđ	loskeđ
paškeđ	paškeđ
riškeđ	riškeđ
tiškeđ	tiškeđ
juškeđ	juškeđ
kalmeđ	kalmeđ
suvneđ	suvneđ
kašneđ	kašneđ
mavređ	mavređ
mokseđ	mokseđ
apseđ	apseđ
ripseđ	ripseđ
kopseđ	kopseđ
jurseđ	jurseđ
jursseđ	jursseđ
lahteđ	lahteđ
sahteđ	sahteđ
ihteđ	ihteđ
kihteđ	kihteđ
pihteđ	pihteđ
pohteđ	pohteđ
sohteđ	sohteđ
apteđ	apteđ
tipteđ	tipteđ
čipteđ	čipteđ
pasteđ	pasteđ
nisteđ	nisteđ
visteđ	visteđ
justeđ	justeđ
susteđ	susteđ
sámáiditteđ	sámáiditteđ
siävŋuditteđ	siä'vŋuditteđ
puitteđ	puitteđ
suitteđ	suitteđ
kijtteđ	kijtteđ
nijtteđ	nijtteđ
vantteđ	vantteđ
mutteđ	mutteđ
pišteđ	pišteđ
ušteđ	ušteđ
mušteđ	mušteđ
pušteđ	pušteđ
kalveđ	kalveđ
arveđ	arveđ
karveđ	karveđ
luvveđ	luvveđ
njizzeđ	njizzeđ
njibžeđ	njibžeđ
sohčeđ	sohčeđ
lipčeđ	lipčeđ
savŋeđ	savŋeđ
vilššeđ	vilššeđ
njulččeđ	njulččeđ
skulččeđ	skulččeđ
stulččeđ	stulččeđ
raahiđ	raaHiđ
jeehiđ	jeeHiđ
peehiđ	peeHiđ
jyehiđ	jyeHiđ
cäähiđ	cääHiđ
ruoibiđ	ruoi'biđ
lebbiđ	lebbiđ
šlebbiđ	šlebbiđ
njäbbiđ	njäbbiđ
silbiđ	silbiđ
šolbiđ	šolbiđ
sälbiđ	sälbiđ
arbiđ	arbiđ
jurbiđ	jurbiđ
hacciđ	hacciđ
čacciđ	čacciđ
čyecciđ	čyecciđ
hicciđ	hicciđ
pääcciđ	pääcciđ
nahciđ	nahciđ
capciđ	capciđ
cipciđ	cipciđ
copciđ	copciđ
vyebdiđ	vyeb'diđ
kyeddiđ	kyed'diđ
luoddiđ	luod'diđ
nieidiđ	niei'diđ
kieldiđ	kiel'diđ
syeldiđ	syel'diđ
čyeldiđ	čyel'diđ
puáldiđ	puál'diđ
kyerdiđ	kyer'diđ
vyerdiđ	vyer'diđ
kuárdiđ	kuár'diđ
muárdiđ	muár'diđ
suárdiđ	suár'diđ
luávdiđ	luáv'diđ
čuávdiđ	čuáv'diđ
tamadiđ	taMadiđ
pahadiđ	pahadiđ
čalmadiđ	čalmadiđ
sappadiđ	sappadiđ
skavadiđ	skavadiđ
addiđ	addiđ
laddiđ	laddiđ
leddiđ	leddiđ
meddiđ	meddiđ
teddiđ	teddiđ
veddiđ	veddiđ
kiddiđ	kiddiđ
loddiđ	loddiđ
noddiđ	noddiđ
luddiđ	luddiđ
puddiđ	puddiđ
vajediđ	vaJediđ
julediđ	juLediđ
kimediđ	kiMediđ
tumediđ	tuMediđ
ronediđ	roNediđ
hurediđ	huRediđ
avediđ	aVediđ
tavediđ	taVediđ
kovediđ	koVediđ
tabediđ	tabediđ
noccediđ	noccediđ
ucediđ	ucediđ
kobdediđ	ko'bdediđ
aldediđ	a'ldediđ
sundediđ	sundediđ
turdediđ	tu'rdediđ
virdediđ	virdediđ
ovdediđ	o'vdediđ
moggediđ	moggediđ
irgediđ	irgediđ
turgediđ	turgediđ
nulhediđ	nu'lhediđ
morhediđ	mo'rhediđ
kuhediđ	kuhediđ
majediđ	majediđ
pajediđ	pajediđ
stajediđ	stajediđ
stäjediđ	stäjediđ
uhkediđ	uhkediđ
pilkkediđ	pilkkediđ
siskediđ	si'skediđ
toskediđ	toskediđ
jyelediđ	jye'lediđ
vyelediđ	vye'lediđ
alediđ	alediđ
tuhlediđ	tuhlediđ
pillediđ	pillediđ
kollediđ	kollediđ
tolediđ	tolediđ
timediđ	timediđ
kalmediđ	ka'lmediđ
sormediđ	sormediđ
pijnediđ	pijnediđ
munediđ	munediđ
sivnediđ	sivnediđ
lopediđ	lopediđ
pyerediđ	pye'rediđ
styerediđ	stye'rediđ
čerediđ	čerediđ
uhrediđ	uhrediđ
turediđ	turediđ
muvrediđ	muvrediđ
pusediđ	pusediđ
kivsediđ	ki'vsediđ
pintediđ	pi'ntediđ
mittediđ	mittediđ
rievediđ	rie'vediđ
mieđediđ	mie'đediđ
maŋediđ	maŋediđ
saŋediđ	saŊediđ
išediđ	išediđ
vijđediđ	vi'jđediđ
pelidiđ	peLidiđ
kuáridiđ	kuá'Ridiđ
tuáridiđ	tuá'Ridiđ
meridiđ	meRidiđ
väridiđ	väRidiđ
täsidiđ	täSidiđ
hävidiđ	häVidiđ
čyerbidiđ	čyer'bidiđ
käibidiđ	käibidiđ
hälbidiđ	hä'lbidiđ
sälbidiđ	sälbidiđ
täbidiđ	täbidiđ
kuocidiđ	kuo'cidiđ
leiccidiđ	leiccidiđ
väldidiđ	väldidiđ
verdidiđ	verdidiđ
hävdidiđ	hävdidiđ
njeidiđ	njeidiđ
meidiđ	meidiđ
segidiđ	segidiđ
fäggidiđ	fäggidiđ
räigidiđ	rä'igidiđ
äigidiđ	äigidiđ
kulgidiđ	ku'lgidiđ
čergidiđ	če'rgidiđ
pärgidiđ	pärgidiđ
tähidiđ	tähidiđ
ruojidiđ	ruo'jidiđ
kuárjidiđ	kuár'jidiđ
kerjidiđ	kerjidiđ
pärjidiđ	pärjidiđ
läjidiđ	läjidiđ
päjidiđ	päjidiđ
stäjidiđ	stäjidiđ
nyeskidiđ	nye'skidiđ
čuáskidiđ	čuá'skidiđ
häskidiđ	hä'skidiđ
peskidiđ	peskidiđ
vielidiđ	vie'lidiđ
halidiđ	halidiđ
palidiđ	palidiđ
skilidiđ	skilidiđ
skolidiđ	skolidiđ
culidiđ	culidiđ
julidiđ	julidiđ
mulidiđ	mulidiđ
pulidiđ	pulidiđ
kevlidiđ	kevlidiđ
šyeimidiđ	šyei'midiđ
somidiđ	somidiđ
humidiđ	humidiđ
jumidiđ	jumidiđ
rämidiđ	rämidiđ
skyennidiđ	skyen'nidiđ
ruonidiđ	ruo'nidiđ
uánidiđ	uá'nidiđ
särnidiđ	särnidiđ
mänidiđ	mänidiđ
njuoidiđ	njuoidiđ
epidiđ	epidiđ
kepidiđ	kepidiđ
täpidiđ	täpidiđ
huávridiđ	huáv'ridiđ
haridiđ	haridiđ
šaridiđ	šaridiđ
veridiđ	veridiđ
širidiđ	širidiđ
njoridiđ	njoridiđ
šnoridiđ	šnoridiđ
sporidiđ	sporidiđ
toridiđ	toridiđ
huridiđ	huridiđ
šuridiđ	šuridiđ
fievridiđ	fie'vridiđ
nievridiđ	nie'vridiđ
veisidiđ	veisidiđ
visidiđ	visidiđ
josidiđ	josidiđ
mosidiđ	mosidiđ
suálssidiđ	suál'ssidiđ
kuástidiđ	kuás'tidiđ
kehtidiđ	kehtidiđ
kuástidiđ	kuá'stidiđ
västidiđ	västidiđ
häittidiđ	häittidiđ
pärttidiđ	pärttidiđ
movtidiđ	mo'vtidiđ
väividiđ	vä'ividiđ
teividiđ	teividiđ
pälvidiđ	pä'lvidiđ
tälvidiđ	tälvidiđ
skovidiđ	skovidiđ
härvidiđ	hä'rvidiđ
ervidiđ	ervidiđ
servidiđ	servidiđ
ärvidiđ	ärvidiđ
šuvidiđ	šuvidiđ
lävvidiđ	lävvidiđ
kezidiđ	kezidiđ
käidiđ	käidiđ
väidiđ	väidiđ
viešidiđ	vie'šidiđ
ruáđidiđ	ruá'Đidiđ
kečidiđ	kečidiđ
mečidiđ	mečidiđ
piŋidiđ	piŋidiđ
rišidiđ	rišidiđ
repčidiđ	repčidiđ
käržidiđ	kä'ržidiđ
kuđidiđ	kuđidiđ
šuđidiđ	šuđidiđ
sevđidiđ	se'vđidiđ
räđidiđ	räđidiđ
täŋidiđ	täŊidiđ
älššidiđ	älššidiđ
kuocijdiđ	kuo'cijdiđ
jurdijdiđ	jurdijdiđ
kulgijdiđ	ku'lgijdiđ
šargijdiđ	ša'rgijdiđ
čergijdiđ	če'rgijdiđ
purgijdiđ	pu'rgijdiđ
ruojijdiđ	ruo'jijdiđ
hajijdiđ	hajijdiđ
vinjijdiđ	vinjijdiđ
unjijdiđ	unjijdiđ
puovnjijdiđ	puo'vnjijdiđ
kuškijdiđ	ku'škijdiđ
vielijdiđ	vie'lijdiđ
halijdiđ	halijdiđ
skalijdiđ	skalijdiđ
palijdiđ	palijdiđ
helijdiđ	helijdiđ
kelijdiđ	kelijdiđ
cilijdiđ	cilijdiđ
skilijdiđ	skilijdiđ
skolijdiđ	skolijdiđ
šolijdiđ	šolijdiđ
culijdiđ	culijdiđ
hulijdiđ	hulijdiđ
julijdiđ	julijdiđ
mulijdiđ	mulijdiđ
pulijdiđ	pulijdiđ
kemijdiđ	kemijdiđ
jomijdiđ	jomijdiđ
somijdiđ	somijdiđ
humijdiđ	humijdiđ
jumijdiđ	jumijdiđ
ruonijdiđ	ruo'nijdiđ
harijdiđ	harijdiđ
šarijdiđ	šarijdiđ
čerijdiđ	čerijdiđ
cirijdiđ	cirijdiđ
šnjirijdiđ	šnjirijdiđ
lirijdiđ	lirijdiđ
širijdiđ	širijdiđ
njorijdiđ	njorijdiđ
škorijdiđ	škorijdiđ
šnorijdiđ	šnorijdiđ
sporijdiđ	sporijdiđ
torijdiđ	torijdiđ
hurijdiđ	hurijdiđ
škurijdiđ	škurijdiđ
murijdiđ	murijdiđ
turijdiđ	turijdiđ
šurijdiđ	šurijdiđ
havrijdiđ	ha'vrijdiđ
kovrijdiđ	ko'vrijdiđ
čuovrijdiđ	čuo'vrijdiđ
visijdiđ	visijdiđ
josijdiđ	josijdiđ
mosijdiđ	mosijdiđ
opsijdiđ	o'psijdiđ
movtijdiđ	mo'vtijdiđ
vavijdiđ	vavijdiđ
šavijdiđ	šavijdiđ
skovijdiđ	skovijdiđ
šuvijdiđ	šuvijdiđ
kizijdiđ	kizijdiđ
puzijdiđ	puzijdiđ
rađijdiđ	rađijdiđ
skičijdiđ	skičijdiđ
škiŋijdiđ	škiŋijdiđ
liđijdiđ	liđijdiđ
piŋijdiđ	piŋijdiđ
